# NAME: wrp4-25.
# COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   "wrp4-25.stp", Remark "Group Steiner Tree problem from VLSI wire routing", End
422 808
1 264 8
1 274 1
2 13 2
2 237 15
2 264 1
2 274 8
3 4 3
3 245 15
3 264 5
4 5 5
4 247 15
5 6 1
5 260 15
6 263 15
7 8 9
7 397 238
8 345 327
8 396 231
9 10 5
9 12 8
9 261 1
10 255 8
10 273 1
11 12 1
11 18 2
11 212 15
11 261 8
12 216 15
12 255 5
13 232 15
13 255 1
13 273 8
14 17 8
14 256 1
15 16 1
15 191 15
16 17 5
16 197 15
17 18 1
17 203 15
18 207 15
18 256 8
19 392 23
19 395 2
20 23 15
20 395 7
21 23 7
21 387 16
21 394 2
21 395 15
22 23 2
22 393 11
22 394 7
24 26 7
24 379 16
24 386 2
24 388 3
25 26 2
25 29 10
25 386 7
26 391 3
27 29 7
27 370 16
27 380 2
27 386 10
28 29 2
28 377 12
28 380 7
30 32 7
30 358 16
30 369 1
30 371 1
31 80 1
31 367 7
32 80 1
32 375 1
33 267 9
33 276 1
34 81 2
34 246 6
34 251 3
34 262 1
35 81 1
35 250 6
35 266 1
35 267 1
36 38 9
36 263 1
36 272 5
37 82 1
37 236 5
37 241 1
37 260 9
38 82 1
38 244 1
38 254 5
39 366 15
39 376 2
39 381 7
39 382 11
40 376 7
40 379 3
40 381 2
40 388 16
41 43 7
41 319 7
41 322 2
41 347 30
42 43 2
42 320 10
42 322 7
43 356 30
44 46 7
44 306 7
44 309 2
44 314 6
45 46 2
45 49 16
45 309 7
46 318 6
47 288 7
47 290 2
47 300 6
47 309 16
48 49 2
48 271 42
48 299 1
49 300 1
50 308 7
50 310 3
50 316 7
50 317 10
51 52 3
51 289 13
51 293 6
51 301 1
52 286 22
52 305 1
52 327 43
53 233 8
53 242 2
53 259 7
53 270 14
54 55 2
54 222 1
54 223 1
54 227 1
55 226 1
55 233 1
55 252 14
56 218 8
56 230 3
56 239 2
56 246 7
57 58 3
57 169 13
57 193 5
57 205 1
58 173 13
58 213 1
58 217 2
59 83 1
59 331 1
59 332 1
59 341 7
60 84 2
60 336 1
60 338 1
60 346 7
61 92 2
62 92 8
62 121 14
63 65 9
63 326 2
63 339 15
63 352 26
64 65 2
64 321 1
64 326 9
65 342 26
66 68 9
66 324 1
66 325 2
66 330 13
67 85 1
67 286 43
67 323 9
68 85 1
68 321 2
69 70 2
69 154 14
70 160 14
70 204 5
71 72 1
71 192 14
71 208 7
72 198 14
72 249 13
72 289 54
73 138 3
73 144 2
73 145 2
74 75 2
74 152 3
74 157 1
74 172 7
75 162 1
75 165 2
75 176 7
76 89 1
76 93 7
77 79 7
77 91 1
77 138 29
78 93 1
78 94 1
79 88 1
79 99 1
79 149 29
80 369 7
81 248 6
81 265 1
82 243 1
82 263 9
83 84 1
83 333 1
83 343 7
84 335 1
84 344 7
85 324 9
86 87 1
86 89 7
86 93 1
86 96 1
87 88 2
87 90 7
87 97 1
88 91 7
88 98 1
89 90 1
90 91 2
92 111 15
93 95 1
94 95 1
94 100 7
95 96 1
95 101 7
96 97 1
96 103 7
97 98 2
97 105 7
98 99 1
98 110 7
99 107 5
99 112 7
100 101 1
100 102 1
101 103 1
101 104 1
102 104 1
102 117 7
103 105 1
103 106 1
104 106 1
104 118 7
105 108 1
105 110 2
106 108 1
106 119 7
107 109 1
107 150 23
108 113 2
108 120 7
109 114 2
109 153 23
110 112 1
110 113 1
111 117 3
111 123 8
112 115 1
112 166 29
113 115 1
113 122 7
114 116 1
114 158 23
115 124 7
115 169 29
116 152 20
116 161 23
117 118 1
117 125 6
118 119 1
118 126 6
119 120 1
119 128 6
120 122 2
120 131 6
121 123 1
121 164 22
122 124 1
122 136 6
123 130 3
123 167 22
124 139 6
125 126 1
125 127 1
126 128 1
126 129 1
127 129 1
127 130 1
128 131 1
128 132 1
129 132 1
129 133 1
130 133 1
131 134 1
131 136 2
132 134 1
132 135 1
133 135 1
134 137 1
134 140 2
135 137 1
135 146 8
136 139 1
136 140 1
137 142 2
137 151 8
138 149 7
139 141 1
139 184 22
140 141 1
140 142 1
141 143 1
141 188 22
142 143 1
142 156 8
143 150 5
143 159 8
144 147 2
144 148 2
145 148 2
145 157 5
146 151 1
146 175 13
147 154 2
147 155 2
148 155 2
148 162 5
149 152 1
149 157 3
150 153 1
150 202 22
151 156 2
151 177 13
152 166 7
153 158 2
153 206 22
154 160 2
155 160 2
155 163 5
156 159 1
156 185 13
157 162 2
158 161 1
158 211 22
159 189 13
159 210 22
160 168 5
161 170 5
161 215 22
162 163 2
163 165 1
163 168 2
164 167 1
164 191 9
165 171 2
165 182 7
166 169 1
166 172 3
167 178 5
167 197 9
168 171 1
168 204 14
169 173 3
170 174 3
170 228 22
171 192 7
171 208 14
172 173 1
172 176 2
173 180 2
174 195 5
174 236 22
175 177 1
175 178 1
176 179 1
176 180 1
177 181 1
177 185 2
178 181 1
178 203 9
179 182 1
179 183 1
180 183 1
180 217 13
181 190 2
181 207 9
182 186 1
182 192 2
183 186 1
183 220 13
184 187 1
184 188 1
185 189 1
185 190 1
186 198 2
186 222 13
187 193 1
187 194 1
188 194 1
188 195 1
189 196 1
189 241 22
190 196 1
190 212 9
191 197 1
192 198 1
193 199 1
194 199 1
194 200 1
195 200 1
195 210 8
196 202 5
196 216 9
197 203 5
198 226 13
199 201 1
199 205 5
200 201 1
200 214 8
201 209 5
201 219 8
202 206 1
202 229 9
203 207 1
204 208 1
204 283 54
205 209 1
205 213 3
206 211 2
206 232 9
207 212 2
209 218 3
209 230 8
210 214 1
210 231 7
211 215 1
211 237 9
212 216 1
213 218 1
213 221 2
214 219 1
214 234 7
215 228 5
215 238 9
216 229 5
217 220 1
217 221 1
218 224 2
219 230 5
219 235 7
220 222 1
220 223 1
221 223 1
221 224 1
222 226 2
223 225 1
224 225 1
224 239 8
225 227 1
225 240 8
226 249 14
227 233 2
227 242 8
228 236 3
228 245 9
229 232 1
229 255 15
230 251 13
231 234 1
231 241 6
232 237 2
233 257 14
234 235 1
234 243 6
235 244 6
235 246 8
236 247 9
237 238 1
238 245 5
238 264 15
239 240 1
239 248 7
240 242 1
240 250 7
241 243 1
242 253 7
243 244 1
244 251 5
245 247 3
246 248 2
247 260 5
248 250 1
249 252 1
249 277 28
250 253 1
251 254 1
252 257 1
252 278 28
253 259 2
253 266 6
254 262 3
254 272 9
256 261 2
257 258 1
257 280 28
258 270 7
258 282 28
259 269 6
259 290 42
260 263 1
262 265 2
262 275 9
265 267 1
265 276 9
266 268 1
266 269 2
267 268 1
268 271 2
269 271 1
269 299 42
270 287 28
272 275 3
273 274 2
275 276 2
277 278 1
277 279 2
278 280 1
278 281 2
279 281 1
279 291 16
280 282 1
280 284 2
281 284 1
281 292 16
282 285 2
282 287 7
283 286 3
283 289 9
284 285 1
284 294 16
285 288 7
285 296 16
287 288 2
287 290 7
288 303 16
289 323 46
290 299 6
291 292 1
291 293 2
292 294 1
292 295 2
293 295 1
294 296 1
294 297 2
295 297 1
295 301 6
296 298 2
296 303 7
297 298 1
297 302 6
298 304 6
298 306 7
299 300 2
301 302 1
301 305 3
302 304 1
302 307 3
303 306 2
303 309 7
304 308 3
304 310 7
305 307 1
306 310 6
307 308 1
307 311 10
308 312 10
310 314 7
311 312 1
311 313 2
312 315 2
312 317 7
313 315 1
313 329 30
314 316 3
314 318 7
315 319 7
315 332 30
316 320 7
316 322 10
317 319 2
317 322 7
318 320 3
319 341 31
321 325 9
323 324 1
323 327 13
324 328 13
325 326 1
325 334 13
326 337 15
327 328 1
327 331 2
328 330 1
328 333 2
329 331 1
329 332 1
330 334 2
330 335 2
331 333 1
332 347 14
333 335 1
334 336 2
335 336 2
336 337 1
337 338 1
337 339 2
338 340 2
339 340 1
339 349 9
340 363 23
341 343 1
341 348 7
342 345 2
342 352 9
343 344 1
343 350 7
344 346 2
344 351 7
345 355 9
346 354 7
347 348 1
347 356 7
348 350 1
348 357 7
349 353 2
349 363 15
350 351 1
350 358 7
351 354 2
351 359 7
352 355 2
352 364 15
353 361 10
353 365 15
354 360 7
354 363 12
355 366 15
356 357 1
356 367 16
357 358 1
357 369 16
358 359 1
359 360 2
359 371 16
360 368 12
360 372 16
361 362 2
362 364 3
363 365 2
363 368 7
364 366 2
364 376 15
365 370 7
365 373 10
366 383 28
367 369 1
368 370 2
368 380 16
370 378 10
371 372 2
371 375 7
372 377 7
372 380 12
373 374 2
373 378 7
374 376 3
374 379 7
375 377 2
378 379 2
378 386 16
381 387 13
381 389 16
382 384 2
382 394 23
383 385 2
383 390 15
384 387 7
384 390 15
385 392 15
385 396 90
388 389 2
388 391 7
389 393 7
389 394 11
390 392 2
390 395 23
391 393 2
396 397 2
1 398 100000
2 398 100000
3 398 100000
4 398 100000
5 398 100000
6 398 100000
7 399 100000
8 399 100000
9 400 100000
10 400 100000
11 400 100000
12 400 100000
13 400 100000
14 401 100000
15 401 100000
16 401 100000
17 401 100000
18 401 100000
19 402 100000
20 402 100000
21 403 100000
22 403 100000
23 403 100000
24 404 100000
25 404 100000
26 404 100000
27 405 100000
28 405 100000
29 405 100000
30 406 100000
31 406 100000
32 406 100000
33 407 100000
34 407 100000
35 407 100000
36 408 100000
37 408 100000
38 408 100000
39 409 100000
40 409 100000
41 410 100000
42 410 100000
